exp_id	study	model	d_q	d_seq	d_model	num_head	d_ff	implementation	n_learners	codebook_size	sve_bits	executable	gem5_timestamp	stats_file	row_index	row_kind	dump_index	checkpoint	interval	sim_seconds	instructions	ops	cpu_cycles	memory_references	load_instructions	store_instructions	dcache_demand_accesses	dcache_demand_misses	icache_demand_accesses	icache_demand_misses	l2_demand_accesses	l2_demand_misses	committed_branches	branch_mispredictions	ipc	cpi	dcache_demand_miss_rate	icache_demand_miss_rate	l2_demand_miss_rate	branch_misprediction_rate	btb_hit_ratio
E01	Dense baseline	BERT-mini	64	512	256	4	1024	Dense naive/default	1	NA	128	transformer_BERT_mini_int8_noTiling_1D_dense_SVE_128.o	run_20260503_224116	/home/thu/gem5/output/run_20260503_224116/stats_20260503_224116.txt	1	interval_delta	1	after_mha	MHA	2.961554	9085632701	10482527523	11846217720	3800245900	2029495794	1770750106	3816003124	15064298	4070775569	173842	15226685	3801608	1417048763	15882194							
E01	Dense baseline	BERT-mini	64	512	256	4	1024	Dense naive/default	1	NA	128	transformer_BERT_mini_int8_noTiling_1D_dense_SVE_128.o	run_20260503_224116	/home/thu/gem5/output/run_20260503_224116/stats_20260503_224116.txt	2	interval_delta	2	after_projection	Projection	0.426757	1297519642	1497015578	1700471227	542615265	289749769	252865496	544865104	1423909	581157910	53213	1473242	631970	202418744	2296452							
E01	Dense baseline	BERT-mini	64	512	256	4	1024	Dense naive/default	1	NA	128	transformer_BERT_mini_int8_noTiling_1D_dense_SVE_128.o	run_20260503_224116	/home/thu/gem5/output/run_20260503_224116/stats_20260503_224116.txt	3	interval_delta	3	after_attn_addnorm	non_GEMM_after_projection	0.002835	5249089	5713587	11338396	1745659	1181688	563971	1745372	34861	2135137	36591	68547	19400	807886	37296							
E01	Dense baseline	BERT-mini	64	512	256	4	1024	Dense naive/default	1	NA	128	transformer_BERT_mini_int8_noTiling_1D_dense_SVE_128.o	run_20260503_224116	/home/thu/gem5/output/run_20260503_224116/stats_20260503_224116.txt	4	interval_delta	4	after_ff1	FF1	1.642133	5183583714	5980502456	6568530560	2168277770	1157765178	1010512592	2177276294	9987226	2322045988	85362	10066438	1240753	808390456	9062546							
E01	Dense baseline	BERT-mini	64	512	256	4	1024	Dense naive/default	1	NA	128	transformer_BERT_mini_int8_noTiling_1D_dense_SVE_128.o	run_20260503_224116	/home/thu/gem5/output/run_20260503_224116/stats_20260503_224116.txt	5	interval_delta	5	after_ff2	FF2	2.063845	5184339867	5981430388	8255383356	2168579949	1157939660	1010640289	2177583497	10313823	2322424458	102377	10409293	8604533	808533117	9083957							
E01	Dense baseline	BERT-mini	64	512	256	4	1024	Dense naive/default	1	NA	128	transformer_BERT_mini_int8_noTiling_1D_dense_SVE_128.o	run_20260503_224116	/home/thu/gem5/output/run_20260503_224116/stats_20260503_224116.txt	6	interval_delta	6	final_total	non_GEMM_after_ff2	0.002747	5245671	5709519	10985756	1744271	1181044	563227	1744035	34401	2132592	36564	68176	19258	807116	37124							
E01	Dense baseline	BERT-mini	64	512	256	4	1024	Dense naive/default	1	NA	128	transformer_BERT_mini_int8_noTiling_1D_dense_SVE_128.o	run_20260503_224116	/home/thu/gem5/output/run_20260503_224116/stats_20260503_224116.txt	7	final_total	6	final_total	total_program	7.099871	20761570684	23952899051	28392927015	8683208814	4637313133	4045895681	8719217426	36858518	9300671654	487949	37312381	14317522	3238006082	36399569	0.731223	1.367571	0.004227273642	0.000052463845	0.383720406371	0.011241352881	0.902637
E07	Learner scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	1	8	128	transformer_BERT_mini_int8_noTiling_1D_CB_8_SVE_128.o	run_20260503_224320	/home/thu/gem5/output/run_20260503_224320/stats_20260503_224320.txt	1	interval_delta	1	after_mha	MHA	0.453696	1011796804	1155779969	1814782868	203589214	178247155	25342059	179283818	3012933	196056319	106341	3024908	92392	70812617	1121595							
E07	Learner scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	1	8	128	transformer_BERT_mini_int8_noTiling_1D_CB_8_SVE_128.o	run_20260503_224320	/home/thu/gem5/output/run_20260503_224320/stats_20260503_224320.txt	2	interval_delta	2	after_projection	Projection	0.138732	299094485	339983924	554929208	53278267	52259308	1018959	46692624	740255	49581643	57445	775182	34433	19921729	184121							
E07	Learner scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	1	8	128	transformer_BERT_mini_int8_noTiling_1D_CB_8_SVE_128.o	run_20260503_224320	/home/thu/gem5/output/run_20260503_224320/stats_20260503_224320.txt	3	interval_delta	3	after_attn_addnorm	non_GEMM_after_projection	0.002714	4712574	5038698	10856336	1624845	1069532	555313	1625668	32958	1984339	36804	66816	19222	694602	37329							
E07	Learner scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	1	8	128	transformer_BERT_mini_int8_noTiling_1D_CB_8_SVE_128.o	run_20260503_224320	/home/thu/gem5/output/run_20260503_224320/stats_20260503_224320.txt	4	interval_delta	4	after_ff1	FF1	0.666823	1187550573	1350212232	2667291576	210402152	207578291	2823861	184060758	2845015	194916787	128336	2904276	2717007	78174257	629464							
E07	Learner scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	1	8	128	transformer_BERT_mini_int8_noTiling_1D_CB_8_SVE_128.o	run_20260503_224320	/home/thu/gem5/output/run_20260503_224320/stats_20260503_224320.txt	5	interval_delta	5	after_ff2	FF2	0.563072	1165582569	1327318062	2252289152	207811708	206133042	1678666	182630071	2378673	189808624	118631	2460347	468021	75907677	223283							
E07	Learner scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	1	8	128	transformer_BERT_mini_int8_noTiling_1D_CB_8_SVE_128.o	run_20260503_224320	/home/thu/gem5/output/run_20260503_224320/stats_20260503_224320.txt	6	interval_delta	6	final_total	non_GEMM_after_ff2	0.002627	4784006	5118743	10507080	1645774	1082003	563771	1645366	33943	2007165	36718	67694	19081	707606	37357							
E07	Learner scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	1	8	128	transformer_BERT_mini_int8_noTiling_1D_CB_8_SVE_128.o	run_20260503_224320	/home/thu/gem5/output/run_20260503_224320/stats_20260503_224320.txt	7	final_total	6	final_total	total_program	1.827664	3673521011	4183451628	7310656220	678351960	646369331	31982629	595938305	9043777	634354877	484275	9299223	3350156	246218488	2233149	0.502489	1.990095	0.015175693397	0.000763413379	0.36026192726	0.009069786019	0.776141
E08	Learner scaling	BERT-mini	64	512	256	4	1024	Codebook SIMD int8	2	8	128	transformer_BERT_mini_int8_noTiling_2D_CB_8_SVE_128.o	run_20260503_224556	/home/thu/gem5/output/run_20260503_224556/stats_20260503_224556.txt	1	interval_delta	1	after_mha	MHA	0.908711	1664302336	1958286960	3634845044	224462061	210042108	14419953	224744454	43381453	301593689	113223	31538213	3574493	100769893	1690435							
