exp_id	study	implementation	n_learners	codebook_size	sve_bits	gem5_timestamp	stats_file	output_file	stats_blocks	rows_written
E01	Dense baseline	Dense naive/default	1	NA	128	run_20260503_224116	/home/thu/gem5/output/run_20260503_224116/stats_20260503_224116.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e01_dense_baseline_n1_cbNA_sve128_run_20260503_224116.tsv	6	7
E07	Learner scaling	Codebook SIMD int8	1	8	128	run_20260503_224320	/home/thu/gem5/output/run_20260503_224320/stats_20260503_224320.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e07_learner_scaling_n1_cb8_sve128_run_20260503_224320.tsv	6	7
E08	Learner scaling	Codebook SIMD int8	2	8	128	run_20260503_224556	/home/thu/gem5/output/run_20260503_224556/stats_20260503_224556.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e08_learner_scaling_n2_cb8_sve128_run_20260503_224556.tsv	6	7
E09	Learner scaling	Codebook SIMD int8	4	8	128	run_20260503_225008	/home/thu/gem5/output/run_20260503_225008/stats_20260503_225008.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e09_learner_scaling_n4_cb8_sve128_run_20260503_225008.tsv	6	7
E10	Learner scaling	Codebook SIMD int8	1	8	256	run_20260503_225848	/home/thu/gem5/output/run_20260503_225848/stats_20260503_225848.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e10_learner_scaling_n1_cb8_sve256_run_20260503_225848.tsv	6	7
E11	Learner scaling	Codebook SIMD int8	2	8	256	run_20260503_230047	/home/thu/gem5/output/run_20260503_230047/stats_20260503_230047.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e11_learner_scaling_n2_cb8_sve256_run_20260503_230047.tsv	6	7
E12	Learner scaling	Codebook SIMD int8	4	8	256	run_20260503_230335	/home/thu/gem5/output/run_20260503_230335/stats_20260503_230335.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e12_learner_scaling_n4_cb8_sve256_run_20260503_230335.tsv	6	7
E13	Learner scaling	Codebook SIMD int8	1	8	512	run_20260503_230501	/home/thu/gem5/output/run_20260503_230501/stats_20260503_230501.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e13_learner_scaling_n1_cb8_sve512_run_20260503_230501.tsv	6	7
E14	Learner scaling	Codebook SIMD int8	2	8	512	run_20260503_230527	/home/thu/gem5/output/run_20260503_230527/stats_20260503_230527.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e14_learner_scaling_n2_cb8_sve512_run_20260503_230527.tsv	6	7
E15	Learner scaling	Codebook SIMD int8	4	8	512	run_20260503_230536	/home/thu/gem5/output/run_20260503_230536/stats_20260503_230536.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e15_learner_scaling_n4_cb8_sve512_run_20260503_230536.tsv	6	7
E25	Codebook-size scaling	Codebook SIMD int8	4	4	128	run_20260503_231231	/home/thu/gem5/output/run_20260503_231231/stats_20260503_231231.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e25_codebook_size_scaling_n4_cb4_sve128_run_20260503_231231.tsv	6	7
E26	Codebook-size scaling	Codebook SIMD int8	4	16	128	run_20260503_231253	/home/thu/gem5/output/run_20260503_231253/stats_20260503_231253.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e26_codebook_size_scaling_n4_cb16_sve128_run_20260503_231253.tsv	6	7
E27	Codebook-size scaling	Codebook SIMD int8	4	4	256	run_20260503_231444	/home/thu/gem5/output/run_20260503_231444/stats_20260503_231444.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e27_codebook_size_scaling_n4_cb4_sve256_run_20260503_231444.tsv	6	7
E28	Codebook-size scaling	Codebook SIMD int8	4	16	256	run_20260503_231527	/home/thu/gem5/output/run_20260503_231527/stats_20260503_231527.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e28_codebook_size_scaling_n4_cb16_sve256_run_20260503_231527.tsv	6	7
E29	Codebook-size scaling	Codebook SIMD int8	4	4	512	run_20260503_231613	/home/thu/gem5/output/run_20260503_231613/stats_20260503_231613.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e29_codebook_size_scaling_n4_cb4_sve512_run_20260503_231613.tsv	6	7
E30	Codebook-size scaling	Codebook SIMD int8	4	16	512	run_20260503_231638	/home/thu/gem5/output/run_20260503_231638/stats_20260503_231638.txt	/home/thu/TiC-SAT/transformer_profiling/base_mini/e30_codebook_size_scaling_n4_cb16_sve512_run_20260503_231638.tsv	6	7
